Region,Population_Density,Poverty_Level,Police_Presence,Crime_Rate_Category
Region_A,1824,38,67,Low
Region_B,1602,49,59,High
Region_C,1220,26,75,Low
Region_D,629,50,64,Between
Region_E,828,39,44,High
Region_F,1025,38,41,Low
Region_G,1533,77,22,Between
Region_H,632,31,58,High
Region_I,1754,66,57,Low
Region_J,855,64,16,Low
Region_K,1537,60,30,Between
Region_L,759,52,56,High
Region_M,1699,69,69,Low
Region_N,1563,70,29,High
Region_O,661,52,47,Low
Region_P,1372,77,19,Between
Region_Q,1264,38,47,High
Region_R,726,50,60,Low
Region_S,1038,79,20,Between
Region_T,1303,72,66,High
Region_U,951,76,78,Low
Region_V,1275,39,90,Low
Region_W,1068,79,83,Between
Region_X,750,59,38,High
Region_Y,1067,52,89,Between
Region_Z,1002,54,66,High
